StationNumber,Station,SampleCount,DateRangeStart,DateRangeEnd,YearsSpanned,EstimatedFrequency,AvgGapDays,MaxGapDays,GapsOver60Days
AB05DE2000,"TOMAHAWK CREEK, 10 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",36,2020-06-11 13:30:00,2023-10-17 11:25:00,3.345653661875428,Monthly,34.6764705882353,182.0,3.0
AB05CC0460,"BLINDMAN RIVER, NEAR THE MOUTH, AT HWY 2A BRIDGE SOUTH OF BLACKFALDS",35,2020-01-07 14:00:00,2023-06-20 17:30:00,3.4496919917864477,Quarterly,36.60606060606061,97.0,3.0
AB05CB0270,"LITTLE RED DEER RIVER, WEST OF INNISFAIL",35,2020-01-07 12:30:00,2023-06-22 15:05:00,3.455167693360712,Quarterly,36.666666666666664,97.0,3.0
AB05CC0100,"MEDICINE RIVER, AT HWY 54",35,2020-01-07 11:30:00,2023-06-22 14:25:00,3.455167693360712,Quarterly,36.63636363636363,98.0,3.0
AB05CC0225,"WASKASOO CREEK, NEAR CONFLUENCE WITH RED DEER RIVER",35,2020-01-07 15:00:00,2023-06-20 16:45:00,3.4496919917864477,Quarterly,36.63636363636363,97.0,3.0
AB05CB0070,"RAVEN RIVER, AT RAVEN",35,2020-01-07 10:45:00,2023-06-22 13:40:00,3.455167693360712,Quarterly,36.78787878787879,98.0,3.0
AB05EC0065,"REDWATER RIVER, AT WSC GAUGE 5 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",34,2020-06-17 09:15:00,2023-10-19 14:35:00,3.3374401095140316,Quarterly,36.9375,182.0,3.0
AB05CE0100,"ROSEBUD RIVER, AT HWY 10",34,2020-01-08 13:00:00,2023-06-19 14:45:00,3.4442162902121836,Quarterly,37.8125,132.0,3.0
AB05EA0025,"STURGEON RIVER, AT WSC GAUGE 17.5 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",34,2020-06-17 10:40:00,2023-10-19 15:25:00,3.3374401095140316,Quarterly,36.90625,182.0,3.0
AB05EE0530,"VERMILION RIVER, 0.7 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",34,2020-06-18 10:30:00,2023-10-19 10:35:00,3.3347022587268995,Quarterly,36.96875,182.0,3.0
AB07BK0125,"LESSER SLAVE RIVER, 9.5 KM U/S OF ATHABASCA RIVER CONFLUENCE",33,2021-04-15 11:30:00,2023-12-05 14:30:00,2.639288158795346,Monthly,29.70967741935484,41.0,0.0
AB07BC0025,"PEMBINA RIVER, AT WSC GAUGE NEAR JARVIE",33,2021-04-15 09:45:00,2023-12-05 11:45:00,2.639288158795346,Monthly,29.774193548387096,40.0,0.0
AB07AA0007,"MIETTE RIVER, AT WSC GAUGE AT HWY 16",33,2021-04-13 11:30:00,2023-12-07 13:00:00,2.650239561943874,Monthly,30.032258064516128,42.0,0.0
AB05ED0100,"ATIMOSWE CREEK, AT WSC GAUGE 6 KM U/S CONFLUENCE WITH NORTH SASKATCHEWAN RIVER",33,2020-06-18 12:55:00,2023-10-19 12:00:00,3.3319644079397674,Quarterly,38.12903225806452,190.0,3.0
AB05CH0120,"BERRY CREEK, NEAR MOUTH",32,2020-01-21 12:05:00,2023-06-28 12:30:00,3.433264887063655,Quarterly,40.7,125.0,4.0
AB05AB0260,"WILLOW CREEK, AT SEC HWY 811",29,2020-06-22 09:30:00,2023-10-19 09:00:00,3.3210130047912387,Quarterly,43.77777777777778,158.0,3.0
AB05AC0160,"MOSQUITO CREEK, AT HWY 529 EAST OF PARKLAND",29,2020-06-10 10:35:00,2023-10-19 10:00:00,3.353867214236824,Quarterly,43.592592592592595,154.0,3.0
AB05AG0140,"EXPANSE COULEE, ADJACENT TO HWY 36 BRIDGE CROSSING OLDMAN RIVER",29,2020-06-25 09:00:00,2023-10-17 10:40:00,3.3100616016427105,Quarterly,43.666666666666664,156.0,3.0
AB05AC0100,"LITTLE BOW RIVER, AT HWY 533 EAST OF NANTON",29,2020-06-10 09:40:00,2023-10-19 09:30:00,3.353867214236824,Quarterly,43.629629629629626,154.0,3.0
AB11AA0270,"NORTH MILK RIVER, NEAR INTERNATIONAL BOUNDARY, AT HWY 501",28,2020-05-21 09:30:00,2023-10-18 09:00:00,3.405886379192334,Quarterly,46.07692307692308,159.0,3.0
AB11AA0150,"MILK RIVER, U/S OF TOWN OF MILK RIVER",28,2020-05-21 13:00:00,2023-10-17 11:00:00,3.403148528405202,Quarterly,46.07692307692308,159.0,3.0
AB05CE0690,"KNEEHILLS CREEK, NEAR THE MOUTH AT HWY 575",27,2020-01-08 12:00:00,2023-06-19 14:10:00,3.4442162902121836,Quarterly,43.24,180.0,3.0
AB05CE0680,"THREEHILLS CREEK, NEAR MOUTH AT HWY 837",27,2020-01-08 11:30:00,2023-06-19 13:15:00,3.4442162902121836,Quarterly,48.48,137.0,5.0
AB05DA0015,"CLINE RIVER, AT HWY 11",27,2021-06-09 10:20:00,2023-10-25 12:10:00,2.3764544832306638,Monthly,33.68,147.0,2.0
AB05BM0620,"CROWFOOT CREEK, ON HWY 1",26,2020-03-04 10:15:00,2023-10-10 13:10:00,3.600273785078713,Quarterly,50.458333333333336,187.0,4.0
AB05BN0130,"NEW WEST COULEE, AT HWY 36 CROSSING",26,2020-03-12 11:30:00,2023-10-10 10:45:00,3.575633127994524,Quarterly,50.25,180.0,5.0
AB05BN0070,"COAL CREEK, 1/2 MILE WEST OF BOW CITY",26,2020-03-12 12:25:00,2023-10-10 11:45:00,3.575633127994524,Quarterly,50.166666666666664,180.0,5.0
AB05AB0100,"BEAVER CREEK, WEST OF PEIGAN INDIAN RESERVE",25,2020-06-18 11:45:00,2023-09-26 11:35:00,3.268993839835729,Quarterly,50.21739130434783,158.0,4.0
AB05BN0065,"TWELVE MILE CREEK, AT GAUGING STATION (RANGE ROAD 525)",25,2020-03-12 10:25:00,2023-10-12 11:45:00,3.583846680355921,Quarterly,52.608695652173914,182.0,6.0
AB05BM0585,"EAST ARROWWOOD CREEK, NEAR THE MOUTH",24,2020-03-04 12:25:00,2023-10-04 11:45:00,3.5811088295687883,Quarterly,54.77272727272727,277.0,3.0
AB05CA0045,"BEARBERRY CREEK, NEAR SUNDRE (NEAR WIER) REMOTE LOGGER SITE",23,2020-03-09 11:00:00,2023-06-22 12:20:00,3.2854209445585214,Quarterly,52.04761904761905,173.0,4.0
AB07AG0345,"MCLEOD RIVER, AT WSC GAUGE 4.5KM U/S OF THE CONFLUENCE WITH GROAT CREEK",23,2021-04-21 14:40:00,2023-10-18 14:20:00,2.48870636550308,Quarterly,41.61904761904762,154.0,2.0
AB07AH0005,"SAKWATAMAU RIVER, AT WSC GAUGE AT HWY 32",23,2021-04-21 13:45:00,2023-10-18 13:40:00,2.48870636550308,Quarterly,41.666666666666664,154.0,2.0
AB05CA0015,"FALLEN TIMBER CREEK, NEAR MOUTH",23,2020-03-09 10:00:00,2023-06-22 11:15:00,3.2854209445585214,Quarterly,51.95238095238095,174.0,4.0
AB05CA0090,"JAMES RIVER, NEAR JAMES RIVER BRIDGE",23,2020-03-09 11:30:00,2023-06-22 13:00:00,3.2854209445585214,Quarterly,52.04761904761905,173.0,4.0
AB11AA0280,"MILK RIVER, NEAR WESTERN BOUNDARY, AT HWY 501",23,2020-05-21 11:30:00,2023-07-12 09:45:00,3.137577002053388,Quarterly,52.61904761904762,208.0,3.0
AB07AC0015,"BERLAND RIVER, 10 KM U/S OF ATHABASCA RIVER - AT WSC GAUGE",22,2021-04-21 11:20:00,2023-10-18 11:30:00,2.4914442162902124,Quarterly,43.8,154.0,2.0
AB05CJ0030,"MATZHIWIN CREEK, AT HWY 36",21,2020-06-25 13:25:00,2023-06-28 13:30:00,3.0061601642710474,Quarterly,55.63157894736842,194.0,4.0
AB05EB0545,"NORTH SASKATCHEWAN RIVER, AT FORT SASKATCHEWAN BOAT LAUNCH - TRANSECT",20,2022-06-09 13:43:00,2022-10-24 13:50:00,0.3750855578370979,Weekly or more,7.5,61.0,1.0
AB11AA0290,"RED CREEK, NEAR THE MOUTH",17,2020-06-23 11:45:00,2023-06-15 11:45:00,2.976043805612594,Quarterly,70.13333333333334,273.0,3.0
AB06AC0160,"ETHEL LAKE (NEAR COLD LAKE), INLET FROM MARIE LAKE",17,2020-06-24 13:00:00,2022-10-18 13:40:00,2.316221765913758,Quarterly,54.6,410.0,1.0
AB05BM0571,"WEST ARROWWOOD CREEK, AT RG RD 242",16,2020-03-04 13:00:00,2023-07-06 11:40:00,3.3347022587268995,Quarterly,79.92857142857143,336.0,4.0
AB07DD0105,"ATHABASCA RIVER, D/S OF DEVILS ELBOW AT WINTER ROAD CROSSING",16,2020-01-21 10:30:00,2023-12-12 11:00:00,3.890485968514716,Quarterly,99.57142857142857,273.0,4.0
AB07AA0005,"SUNWAPTA RIVER, AT WSC GAUGE 0.1 KM D/S OF SUNWAPTA LAKE",14,2021-05-03 13:30:00,2023-06-06 13:00:00,2.088980150581793,Quarterly,59.5,209.0,2.0
AB05CE0700,"MICHICHI CREEK, NEAR THE MOUTH",12,2020-06-23 10:45:00,2023-06-19 15:45:00,2.9869952087611225,Annual or less,105.2,299.0,4.0
AB05CG0032,"FISH CREEK, AT HIGHWAY 851",11,2020-06-10 13:00:00,2022-07-05 14:30:00,2.0670773442847366,Quarterly,80.11111111111111,354.0,4.0
AB05EB0595,"NORTH SASKATCHEWAN RIVER, U/S FORT SASKATCHEWAN AT HWY 15 BRIDGE - TRANSECT",11,2023-01-26 11:10:00,2023-12-07 12:50:00,0.8624229979466119,Monthly,32.22222222222222,51.0,0.0
AB11AA0330,"MINER'S COULEE, SITE B",10,2020-06-23 10:45:00,2023-06-15 10:50:00,2.976043805612594,Annual or less,131.75,363.0,3.0
AB06AC0150,"ETHEL LAKE (NEAR COLD LAKE), INLET FROM HILDA LAKE",9,2020-06-24 12:20:00,2022-07-19 13:00:00,2.0670773442847366,Annual or less,104.28571428571429,557.0,1.0
AB07AE0160,"ATHABASCA RIVER, AT WINDFALL BRIDGE - TRANSECT ARC KM 1066.3",9,2023-04-17 13:20:00,2023-12-05 13:40:00,0.6351813826146475,Monthly,27.571428571428573,39.0,0.0
AB05AA0090,"CROWSNEST RIVER, ABOVE COLEMAN",8,2021-06-03 12:50:00,2022-07-25 15:45:00,1.1416837782340863,Quarterly,63.333333333333336,244.0,1.0
AB05AA0035,"BLAIRMORE CREEK, 12KM U/S CONFLUENCE WITH CROWSNEST RIVER",8,2021-06-02 16:30:00,2022-07-26 07:30:00,1.1444216290212184,Quarterly,63.333333333333336,245.0,1.0
AB05AA0045,"BLAIRMORE CREEK, 1KM U/S CONFLUENCE WITH CROWSNEST RIVER",8,2021-06-02 15:20:00,2022-07-25 17:00:00,1.1444216290212184,Quarterly,63.333333333333336,245.0,1.0
AB05AA0065,"CROWSNEST CREEK, 0.2KM D/S HWY 3",8,2021-06-03 10:12:00,2022-07-25 15:15:00,1.1416837782340863,Quarterly,63.0,244.0,1.0
AB05AA0055,"CROWSNEST CREEK, 0.5KM U/S CONFLUENCE WITH PTOLEMY CREEK",8,2021-06-03 08:15:00,2022-07-25 15:00:00,1.1416837782340863,Quarterly,63.166666666666664,245.0,1.0
AB05AA1270,"GOLD CREEK, U/S OF HWY 3 BRIDGE",8,2021-06-02 14:25:00,2022-07-25 12:30:00,1.1416837782340863,Quarterly,63.166666666666664,245.0,1.0
AB05AA0056,"PTOLEMY CREEK, 0.1KM U/S CONFLUENCE WITH CROWSNEST CREEK",8,2021-06-03 11:30:00,2022-07-25 12:30:00,1.1416837782340863,Quarterly,63.166666666666664,245.0,1.0
AB05AA0105,"CROWSNEST RIVER, 0.6KM U/S GOLD CREEK AT WSC GAUGE",8,2021-06-03 14:15:00,2022-07-25 16:40:00,1.1416837782340863,Quarterly,63.333333333333336,244.0,1.0
AB05AA0110,"CROWSNEST RIVER, ABOVE BELLEVUE",8,2021-06-03 15:00:00,2022-07-25 14:20:00,1.1389459274469542,Quarterly,63.166666666666664,244.0,1.0
AB05AH0185,"BULLSHEAD CREEK RESERVOIR, NEAR NORTH EAST INLET",7,2020-02-27 10:45:00,2021-03-10 11:22:00,1.0321697467488022,Quarterly,51.6,91.0,1.0
AB07GD0005,"BEAVERLODGE RIVER, AT TWP 734 AND RR 132",5,2022-08-14 10:00:00,2023-11-09 13:56:00,1.2375085557837098,Annual or less,145.0,231.0,3.0
AB07GD0045,"BEAVERLODGE RIVER, U/S HWY 722 BRIDGE",5,2022-08-14 14:00:00,2023-11-10 09:30:00,1.2375085557837098,Annual or less,145.0,238.0,3.0
AB07GD0040,"BEAVERLODGE RIVER, U/S OF BEAVERLODGE",5,2022-08-14 13:00:00,2023-11-10 09:00:00,1.2375085557837098,Annual or less,145.0,238.0,3.0
AB07GD0070,"BEAVERLODGE RIVER, AT GRAVEL PIT",5,2022-08-09 14:21:00,2023-11-10 11:00:00,1.2511978097193703,Annual or less,145.0,197.0,3.0
AB07GD0030,"BEAVERTAIL CREEK, AT THE MOUTH",5,2022-08-14 12:00:00,2023-11-09 10:05:00,1.2347707049965777,Annual or less,144.66666666666666,237.0,3.0
