ProjectNumber,SampleNumber,ContinentalRiverBasinCode,RiverBasinCode,RiverSubBasinCode,StationTypeCode,StationNumber,Station,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCode,SampleTypeCode,CollectionCode,QCSampleFlag,SampleComment,SampleDateTime,VmvCode,VariableCode,VariableName,MeasurementFlag,MeasurementValue,UnitCode,SampleDetectLimit,MeasurementComment,MeasurementQualifier,MeasurementQualifierDescription,MeasurementQualifierComment,MethodCode,MethodDetectionLimit,LabCode,QualityClass,SampleCommentCategory,llm_category_label,llm_qualifier,llm_variable_name,llm_model
ABSL34,21SWE00018,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,14,128.0,N,"Main Sample. QC Inorganics (21SWE00019) & FB (21SWE00020). Landed on d/s tip of island & sampled ~10m out towards center channel. Used Carboy #10 for main sample & Carboy #47 for replicate. R/C wouldn't work due to flash freezing, so filled Hgs by hand.",2021-02-17 11:15:00,100629,433,COLIFORMS FECAL,L,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 32mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,21SWE00029,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,14,128.0,N,Used underice sampler with Carboy #7. Good flow. R/C used.,2021-03-16 09:50:00,100629,433,COLIFORMS FECAL,L,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 1hr 15mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,21SWE00038,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,Direct filled through augered hole ~15m off of d/s point of usual landing island. Good flow. Walked past overflow on bank - which extended ~6-7m out from bank of island.,2021-04-13 08:15:00,100629,433,COLIFORMS FECAL,,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 1hr 38mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,21SWE00046,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,"Landed on island, sampled off d/s end of island (main channel). Direct filled bottles.",2021-05-11 07:50:00,100629,433,COLIFORMS FECAL,L,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 2hrs 7mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,21SWE00055,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,Main Sample. QC Inorganics Replicate (21SWE00056) & FB (21SWE00057). Landed on island and direct filled on left bank side of island. Good flow. Visible suspended sediment. Some woody debris (small) coming downstream. Filled inorganic replicate & field blank.,2021-06-08 09:00:00,100629,433,COLIFORMS FECAL,,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 4hrs 58mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,21SWE00062,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,Sampled center channel - LB on d/s end of big island. Good flow. Lots of mud. Some organic debris in flow. Air temp not recorded.,2021-07-13 07:45:00,100629,433,COLIFORMS FECAL,L,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 2hrs 26mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,21SWE00070,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,Low water level and low flow. Sampled off d/s end of island in main channel.,2021-08-10 08:00:00,100629,433,COLIFORMS FECAL,,30,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 1hr 45mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,21SWE00078,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,"Good flow. WL low - real low, channel between true RB and island nearly dried up. Sampled off d/s end of island on left side (RB of river). All bottles direct filled. Took pics",2021-09-08 08:00:00,100629,433,COLIFORMS FECAL,L,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 1hr 59mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,21SWE00083,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,Good flow. Water level very low. There's either no flow or standing water between the island & RB. Banks are slumping into the water.,2021-10-05 08:15:00,100629,433,COLIFORMS FECAL,L,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 2hrs 35mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,21SWE00091,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,Direct filled all bottles from open lead ~5m out from LB of d/s tip of island. Excellent flow velocity.,2021-11-17 10:15:00,100629,433,COLIFORMS FECAL,L,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 1hr 4mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,22SWE00011,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,14,128.0,N,"Augered hole towards center, just off lower end of island. Good flow. Used underice sampler (Carboy #21), R/C for Metals & Hgs.",2022-01-12 11:20:00,100629,433,COLIFORMS FECAL,L,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 33mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,22SWE00043,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,"Sampled at d/s end of island. Good flow, all bottles direct filled. Lots of suspended sediments in flow. Total ICP metal scan diluted due to matrix interference, detection limits adjusted accordingly",2022-05-17 07:50:00,100629,433,COLIFORMS FECAL,,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 2hrs 6mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,22SWE00048,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,TOC deleted due to exceedingly high value caused by G2 preservative contamination. WL higher than last month. Sampled on d/s end of island in center channel. Substrate 100%'mud',2022-06-21 08:00:00,100629,433,COLIFORMS FECAL,,70,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 3hrs past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,22SWE00056,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,TOC deleted due to exceedingly high value caused by G2 preservative contamination. Detection limits for pesticides scan were adjusted because the concentration step in the method didn't achieve the desired target volume. Water level high - not able to land on island. Sample taken from RB.,2022-07-13 08:00:00,100629,433,COLIFORMS FECAL,,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 2hrs 9mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,22SWE00067,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,"Landed on d/s tip of usual island & direct filled off RB of island. Some organic debris in water but good flow, velocity. Water has dropped ~1m since July.",2022-08-10 08:15:00,100629,433,COLIFORMS FECAL,,20,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 1hr 47mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,22SWE00078,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,"No chl-a result due to lab error. Water level low, good flow. All bottles direct filled. Landed on island just d/s of normal island (due to boat on shore). Sampled adjacent to cabins on RB. NOTE: Beginning Sep 1, 2022 Rod & Clamp no longer used to collect Hgs/MeHgs (as per Craig Emmerton). Note: Color & Odor fields not recorded on the field sheet.",2022-09-13 08:30:00,100629,433,COLIFORMS FECAL,,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 22mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,22SWE00083,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,Sampled on island further d/s of original cabin. Flow looks better - main channel moved over to LB channel.,2022-10-20 08:20:00,100629,433,COLIFORMS FECAL,L,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 1hr 32mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,22SWE00091,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,"Sampled off d/s end of lower island (one further down than regular island), towards LB. Right bank and center channels appear to have little to no water due to smooth snow cover and observations from last month's crew. Left channel has obvious recent slush and ice pans frozen together. Ice is clear. Flow can be seen. Windy day. PAHs not field preserved.",2022-11-15 11:00:00,100629,433,COLIFORMS FECAL,L,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 59mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,23SWE00011,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,14,128.0,N,Landed on regular island and headed towards RB to sample. Used underice sampler (Carboy #46).,2023-01-12 10:00:00,100629,433,COLIFORMS FECAL,L,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 47mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,23SWE00029,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,14,128.0,N,"Collected sample with underice sampler (Carboy #38). ~0.2m of overflow throughout area. No wind! Additional parameters were collected for the Kearl Lake incident response. InnoTech: 2 x NA (1L). Mount Royal: 2 x GCxGC (1L). ALS: 2 x VOC, 2 x Hydrocarbons, 1 x NA. BV: 2 x VOC, 2 x PAC, 1 x phenols, 1 x cyanide (rinsed 3x by accident), 2 x PFOs (filled in first augered hole), 1 x formaldehyde, 1 x NTA. Isotope bottle missing.",2023-03-15 09:15:00,100629,433,COLIFORMS FECAL,,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 1hr 33mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,23SWE00035,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,Sampled right of the bigger island near cabins on d/s point. Waded sample. Direct filled all bottles. Good flow. InnoTech F1234W and Napthenic Acids added in response to Kearl Lake release under ABSL34.,2023-04-20 08:15:00,100629,433,COLIFORMS FECAL,L,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 1hr 45mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,"[""No relevant conditions mentioned""]",COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,23SWE00044,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,14,128.0,N,"Main sample. QC Inorganics Duplicate (23SWE00045) no Pesticides. Field Blank (23SWE00046) plus Pesticides. Windy, cool, cloudy, landed on center island (left of long island) and waded out to center for flow. Nice sandy bottom, easy to walk. Very cloudy and windy and chilly. Direct filled all bottles.",2023-05-17 08:00:00,100629,433,COLIFORMS FECAL,,20,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 2hrs 3mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,23SWE00057,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,Sampled at d/s island at d/s tip. Waded toward RB from island. Direct fill all bottles. Water level up from last month. Some foam and debris from flow.,2023-06-21 07:50:00,100629,433,COLIFORMS FECAL,,150,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 1hr 7mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,"[""No relevant conditions mentioned""]",COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,23SWE00070,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,"Landed on east side of larger island & walked out towards center channel (between the larger and smaller islands). Direct filled all bottles. Smoky in area from NWT wildfires. Sampled across, from bottom end of big island. Didn't land on big island because we are trying to avoid steep drop off from that island.",2023-08-16 09:10:00,100629,433,COLIFORMS FECAL,,40,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 48mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,"[""No relevant conditions mentioned""]",COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,23SWE00078,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,Water level low. Good flow. Light sprinkle of precipitation. Foam stacks on banks. Sun and cloud with wildfire smoke.,2023-09-12 07:35:00,100629,433,COLIFORMS FECAL,L,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 2hrs 19mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,23SWE00083,MAC,ATH,07DD,0,AB07DD0010,"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",58.38278,-111.51778,0,1,16.0,N,"Water level very low. Slow velocity/flow. Some foam present, no debris. Minimal wind. Landed in midpoint of second island from right bank. Direct filled all bottles.",2023-10-19 08:45:00,100629,433,COLIFORMS FECAL,L,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 1hr 5mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,20SWE00068,MAC,ATH,07BE,0,AB07BE0010,"ATHABASCA RIVER, AT TOWN OF ATHABASCA",54.72222,-113.28611,0,14,128.0,N,Main Sample. Organics & MeHgs Replicate (20SWE00069) & Field Blank (20SWE00070). FB was poured off at truck.R/C used for Metals & Hgs. Other samples filled from Carboy #39. Raining when boating u/s but sun came out while sampling. Changed out sonde - which was out of the water probably due to decrease in water level.,2020-09-09 09:16:00,100629,433,COLIFORMS FECAL,,50,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 45mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,21SWE00013,MAC,ATH,07BE,0,AB07BE0010,"ATHABASCA RIVER, AT TOWN OF ATHABASCA",54.72222,-113.28611,0,14,128.0,N,Main Sample. QC Organics Rep (21SWE00014) & FB (21SWE00015). Water taken ~3m from sonde location on LB. Used Carboy #25. Ice really thick!,2021-02-17 11:30:00,100629,433,COLIFORMS FECAL,,91,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 16mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,21SWE00036,MAC,ATH,07BE,0,AB07BE0010,"ATHABASCA RIVER, AT TOWN OF ATHABASCA",54.72222,-113.28611,0,1,16.0,N,"Sampled open lead on LB, river ~70% open upstream. Direct filled.",2021-04-13 09:40:00,100629,433,COLIFORMS FECAL,L,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 13mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,21SWE00060,MAC,ATH,07BE,0,AB07BE0010,"ATHABASCA RIVER, AT TOWN OF ATHABASCA",54.72222,-113.28611,0,14,128.0,N,Used underice sampler with Carboy #19. Water level seems to be coming up - don't see high water mark. Turbid with some woody debris.,2021-07-20 10:45:00,100629,433,COLIFORMS FECAL,,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 7mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,21SWE00086,MAC,ATH,07BE,0,AB07BE0010,"ATHABASCA RIVER, AT TOWN OF ATHABASCA",54.72222,-113.28611,0,1,16.0,N,Direct sampled from LB only. Some edge ice forming and quite thick (~5cm). Stood in knee high water with good flow. Lots of thick & slushy ice pans throughout channel. Some ice pans ~30cm thick. Collected & poured off QC FB PAHs only at Atha (21SWE00098) instead of at Ft Mac. Field preserved PAHs.,2021-11-09 11:00:00,100629,433,COLIFORMS FECAL,L,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 57mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,21SWE00094,MAC,ATH,07BE,0,AB07BE0010,"ATHABASCA RIVER, AT TOWN OF ATHABASCA",54.72222,-113.28611,0,14,128.0,N,"Walked over to LB from boat launch. Augered holes starting @ ~3m out from LB to ~40m. The ~40m location was in last open lead area. Thick ice with good deep flow. Used underice sampler (Carboy #4), R/C for Metals & Hgs. Lots of clear slush ice coming up into the hole.",2021-12-09 12:25:00,100629,433,COLIFORMS FECAL,L,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 1hr 37mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
ABSL34,22SWE00024,MAC,ATH,07BE,0,AB07BE0010,"ATHABASCA RIVER, AT TOWN OF ATHABASCA",54.72222,-113.28611,0,14,128.0,N,Sunny & windy. Used Carboy #7. Removed sonde (cut cage from cable & left cage & lid on bank).,2022-03-16 10:40:00,100629,433,COLIFORMS FECAL,,10,No/100 mL,,,HT,HOLDING TIME EXCEEDED,Rec'd 12mins past 24hr HT,2715,1.0,69,Flagged-Acceptable,[],COLIFORMS FECAL (100629-433) : HT,HT,COLIFORMS FECAL,qwen3:4b
